,index,demo_encoding_loop.thisTrialN,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_encoding_response.keys,index,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisTrialN,DemoImage1,DemoImage2,DemoCorrectTest,subject
45,7,3.0,flower3.jpg,,,,15.0,right,0.0,1.3467,3.0,flower4.jpg,flower4_pair.jpg,left,A1LSSI3O205X7F_2022-09-25_06h19.10.605.csv
46,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.9802,4.0,flower5_pair.jpg,flower5.jpg,right,A1LSSI3O205X7F_2022-09-25_06h19.10.605.csv
47,9,5.0,flower5.jpg,,,,17.0,left,1.0,2.4553,5.0,flower6.jpg,flower6_pair.jpg,left,A1LSSI3O205X7F_2022-09-25_06h19.10.605.csv
48,10,6.0,flower6.jpg,,,,,,,,,,,,A1LSSI3O205X7F_2022-09-25_06h19.10.605.csv
49,4,0.0,flower1.jpg,,,,12.0,right,0.0,3.4882,0.0,flower1.jpg,flower1_pair.jpg,left,A17JUIY13I7RL8_2022-09-25_06h11.23.223.csv
50,5,1.0,flower2.jpg,,,,13.0,left,0.0,1.3417,1.0,flower2_pair.jpg,flower2.jpg,right,A17JUIY13I7RL8_2022-09-25_06h11.23.223.csv
51,6,2.0,left.jpg,left,1.5821,left,14.0,left,1.0,1.5222,2.0,flower3.jpg,flower3_pair.jpg,left,A17JUIY13I7RL8_2022-09-25_06h11.23.223.csv
52,7,3.0,flower3.jpg,,,,15.0,right,0.0,1.4924,3.0,flower4.jpg,flower4_pair.jpg,left,A17JUIY13I7RL8_2022-09-25_06h11.23.223.csv
53,8,4.0,flower4.jpg,,,,16.0,left,0.0,1.7034,4.0,flower5_pair.jpg,flower5.jpg,right,A17JUIY13I7RL8_2022-09-25_06h11.23.223.csv
54,9,5.0,flower5.jpg,,,,17.0,right,0.0,1.7002,5.0,flower6.jpg,flower6_pair.jpg,left,A17JUIY13I7RL8_2022-09-25_06h11.23.223.csv
55,10,6.0,flower6.jpg,,,,,,,,,,,,A17JUIY13I7RL8_2022-09-25_06h11.23.223.csv
56,4,0.0,flower1.jpg,,,,12.0,right,0.0,4.1846,0.0,flower1.jpg,flower1_pair.jpg,left,A344BXT88DM2ZH_2022-09-25_06h13.49.540.csv
57,5,1.0,flower2.jpg,,,,13.0,left,0.0,1.8431,1.0,flower2_pair.jpg,flower2.jpg,right,A344BXT88DM2ZH_2022-09-25_06h13.49.540.csv
58,6,2.0,left.jpg,left,1.874,left,14.0,left,1.0,1.6587,2.0,flower3.jpg,flower3_pair.jpg,left,A344BXT88DM2ZH_2022-09-25_06h13.49.540.csv
59,7,3.0,flower3.jpg,,,,15.0,right,0.0,1.3052,3.0,flower4.jpg,flower4_pair.jpg,left,A344BXT88DM2ZH_2022-09-25_06h13.49.540.csv
60,8,4.0,flower4.jpg,,,,16.0,right,1.0,2.0514,4.0,flower5_pair.jpg,flower5.jpg,right,A344BXT88DM2ZH_2022-09-25_06h13.49.540.csv
61,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.669,5.0,flower6.jpg,flower6_pair.jpg,left,A344BXT88DM2ZH_2022-09-25_06h13.49.540.csv
62,10,6.0,flower6.jpg,,,,,,,,,,,,A344BXT88DM2ZH_2022-09-25_06h13.49.540.csv
63,4,0.0,flower1.jpg,,,,12.0,right,0.0,1.7033,0.0,flower1.jpg,flower1_pair.jpg,left,A3E0IFFHYQPLFE_2022-09-25_06h24.41.936.csv
64,5,1.0,flower2.jpg,,,,13.0,left,0.0,0.1863,1.0,flower2_pair.jpg,flower2.jpg,right,A3E0IFFHYQPLFE_2022-09-25_06h24.41.936.csv
65,6,2.0,left.jpg,left,0.007,right,14.0,right,0.0,0.0963,2.0,flower3.jpg,flower3_pair.jpg,left,A3E0IFFHYQPLFE_2022-09-25_06h24.41.936.csv
66,7,3.0,flower3.jpg,,,,15.0,left,1.0,0.0071,3.0,flower4.jpg,flower4_pair.jpg,left,A3E0IFFHYQPLFE_2022-09-25_06h24.41.936.csv
67,8,4.0,flower4.jpg,,,,16.0,right,1.0,0.0963,4.0,flower5_pair.jpg,flower5.jpg,right,A3E0IFFHYQPLFE_2022-09-25_06h24.41.936.csv
68,9,5.0,flower5.jpg,,,,17.0,right,0.0,0.1858,5.0,flower6.jpg,flower6_pair.jpg,left,A3E0IFFHYQPLFE_2022-09-25_06h24.41.936.csv
69,10,6.0,flower6.jpg,,,,,,,,,,,,A3E0IFFHYQPLFE_2022-09-25_06h24.41.936.csv
70,4,0.0,flower1.jpg,,,,12.0,left,1.0,2.5253,0.0,flower1.jpg,flower1_pair.jpg,left,A3JQOR9SGS3YFS_2022-09-25_06h14.37.633.csv
71,5,1.0,flower2.jpg,,,,13.0,right,1.0,1.5622,1.0,flower2_pair.jpg,flower2.jpg,right,A3JQOR9SGS3YFS_2022-09-25_06h14.37.633.csv
72,6,2.0,left.jpg,left,1.9364,left,14.0,left,1.0,1.2186,2.0,flower3.jpg,flower3_pair.jpg,left,A3JQOR9SGS3YFS_2022-09-25_06h14.37.633.csv
73,7,3.0,flower3.jpg,,,,15.0,right,0.0,1.2104,3.0,flower4.jpg,flower4_pair.jpg,left,A3JQOR9SGS3YFS_2022-09-25_06h14.37.633.csv
74,8,4.0,flower4.jpg,,,,16.0,right,1.0,2.1502,4.0,flower5_pair.jpg,flower5.jpg,right,A3JQOR9SGS3YFS_2022-09-25_06h14.37.633.csv
75,9,5.0,flower5.jpg,,,,17.0,right,0.0,1.4707,5.0,flower6.jpg,flower6_pair.jpg,left,A3JQOR9SGS3YFS_2022-09-25_06h14.37.633.csv
76,10,6.0,flower6.jpg,,,,,,,,,,,,A3JQOR9SGS3YFS_2022-09-25_06h14.37.633.csv
77,4,0.0,flower1.jpg,,,,12.0,right,0.0,1.9472,0.0,flower1.jpg,flower1_pair.jpg,left,A1KR5B9ABZ7U4O_2022-09-25_06h17.10.359.csv
78,5,1.0,flower2.jpg,,,,13.0,left,0.0,0.1472,1.0,flower2_pair.jpg,flower2.jpg,right,A1KR5B9ABZ7U4O_2022-09-25_06h17.10.359.csv
79,6,2.0,left.jpg,left,0.0078,right,14.0,left,1.0,0.2535,2.0,flower3.jpg,flower3_pair.jpg,left,A1KR5B9ABZ7U4O_2022-09-25_06h17.10.359.csv
80,7,3.0,flower3.jpg,,,,15.0,left,1.0,0.1364,3.0,flower4.jpg,flower4_pair.jpg,left,A1KR5B9ABZ7U4O_2022-09-25_06h17.10.359.csv
81,8,4.0,flower4.jpg,,,,16.0,left,0.0,0.135,4.0,flower5_pair.jpg,flower5.jpg,right,A1KR5B9ABZ7U4O_2022-09-25_06h17.10.359.csv
82,9,5.0,flower5.jpg,,,,17.0,left,1.0,0.1252,5.0,flower6.jpg,flower6_pair.jpg,left,A1KR5B9ABZ7U4O_2022-09-25_06h17.10.359.csv
83,10,6.0,flower6.jpg,,,,,,,,,,,,A1KR5B9ABZ7U4O_2022-09-25_06h17.10.359.csv
84,4,0.0,flower1.jpg,,,,12.0,left,1.0,2.513,0.0,flower1.jpg,flower1_pair.jpg,left,A38L8T6E70LVYE_2022-09-25_06h23.23.531.csv
85,5,1.0,flower2.jpg,,,,13.0,left,0.0,2.1972,1.0,flower2_pair.jpg,flower2.jpg,right,A38L8T6E70LVYE_2022-09-25_06h23.23.531.csv
86,6,2.0,left.jpg,left,1.8574,left,14.0,left,1.0,2.2666,2.0,flower3.jpg,flower3_pair.jpg,left,A38L8T6E70LVYE_2022-09-25_06h23.23.531.csv
87,7,3.0,flower3.jpg,,,,15.0,left,1.0,1.8991,3.0,flower4.jpg,flower4_pair.jpg,left,A38L8T6E70LVYE_2022-09-25_06h23.23.531.csv
88,8,4.0,flower4.jpg,,,,16.0,right,1.0,2.1257,4.0,flower5_pair.jpg,flower5.jpg,right,A38L8T6E70LVYE_2022-09-25_06h23.23.531.csv
89,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.3928,5.0,flower6.jpg,flower6_pair.jpg,left,A38L8T6E70LVYE_2022-09-25_06h23.23.531.csv
90,10,6.0,flower6.jpg,,,,,,,,,,,,A38L8T6E70LVYE_2022-09-25_06h23.23.531.csv
91,4,0.0,flower1.jpg,,,,12.0,left,1.0,3.4683,0.0,flower1.jpg,flower1_pair.jpg,left,ATOUNVWV5W8W2_2022-09-25_06h19.29.701.csv
92,5,1.0,flower2.jpg,,,,13.0,right,1.0,1.7633,1.0,flower2_pair.jpg,flower2.jpg,right,ATOUNVWV5W8W2_2022-09-25_06h19.29.701.csv
93,6,2.0,left.jpg,left,,,14.0,left,1.0,1.3404,2.0,flower3.jpg,flower3_pair.jpg,left,ATOUNVWV5W8W2_2022-09-25_06h19.29.701.csv
94,7,3.0,flower3.jpg,,,,15.0,right,0.0,1.2593,3.0,flower4.jpg,flower4_pair.jpg,left,ATOUNVWV5W8W2_2022-09-25_06h19.29.701.csv
95,8,4.0,flower4.jpg,,,,16.0,left,0.0,1.9997,4.0,flower5_pair.jpg,flower5.jpg,right,ATOUNVWV5W8W2_2022-09-25_06h19.29.701.csv
96,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.4492,5.0,flower6.jpg,flower6_pair.jpg,left,ATOUNVWV5W8W2_2022-09-25_06h19.29.701.csv
97,10,6.0,flower6.jpg,,,,,,,,,,,,ATOUNVWV5W8W2_2022-09-25_06h19.29.701.csv
98,4,0.0,flower1.jpg,,,,12.0,left,1.0,6.111,0.0,flower1.jpg,flower1_pair.jpg,left,A2YIOEOXTOWKMK_2022-09-25_06h15.56.225.csv
99,5,1.0,flower2.jpg,,,,13.0,left,0.0,7.17,1.0,flower2_pair.jpg,flower2.jpg,right,A2YIOEOXTOWKMK_2022-09-25_06h15.56.225.csv
100,6,2.0,left.jpg,left,,,14.0,left,1.0,38.733,2.0,flower3.jpg,flower3_pair.jpg,left,A2YIOEOXTOWKMK_2022-09-25_06h15.56.225.csv
101,7,3.0,flower3.jpg,,,,15.0,right,0.0,7.985,3.0,flower4.jpg,flower4_pair.jpg,left,A2YIOEOXTOWKMK_2022-09-25_06h15.56.225.csv
102,8,4.0,flower4.jpg,,,,16.0,left,0.0,8.507,4.0,flower5_pair.jpg,flower5.jpg,right,A2YIOEOXTOWKMK_2022-09-25_06h15.56.225.csv
103,9,5.0,flower5.jpg,,,,17.0,left,1.0,3.516,5.0,flower6.jpg,flower6_pair.jpg,left,A2YIOEOXTOWKMK_2022-09-25_06h15.56.225.csv
104,10,6.0,flower6.jpg,,,,,,,,,,,,A2YIOEOXTOWKMK_2022-09-25_06h15.56.225.csv
105,4,0.0,flower1.jpg,,,,12.0,right,0.0,2.5506,0.0,flower1.jpg,flower1_pair.jpg,left,AS66AO98XNCUP_2022-09-25_06h15.28.229.csv
106,5,1.0,flower2.jpg,,,,13.0,right,1.0,2.0749,1.0,flower2_pair.jpg,flower2.jpg,right,AS66AO98XNCUP_2022-09-25_06h15.28.229.csv
107,6,2.0,left.jpg,left,0.1013,right,14.0,right,0.0,2.65,2.0,flower3.jpg,flower3_pair.jpg,left,AS66AO98XNCUP_2022-09-25_06h15.28.229.csv
