button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,space_key_responce.keys,space_key_responce.rt,demo_encoding_response.keys,demo_encoding_response.corr,demo_encoding_loop.thisRepN,demo_encoding_loop.thisTrialN,demo_encoding_loop.thisN,demo_encoding_loop.thisIndex,demo_encoding_loop.ran,DemoImage,DemoCorrect,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisRepN,demo_test_loop.thisTrialN,demo_test_loop.thisN,demo_test_loop.thisIndex,demo_test_loop.ran,DemoImage1,DemoImage2,DemoCorrectTest,test_encoding_response.keys,test_encoding_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target_image,pair,layer,correct,test_encoding_response.rt,key_resp_end.keys,key_resp_end.rt,test_test_response.keys,test_test_response.corr,test_test_response.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image2
,,,AZD5EFRI6AB7X,45,female,6,2022-09-18_09h13.34.352,memory_pilot_most_recent,2022.2.4,Win32,32.2684737,,,,,,,,,,,,,,,,,,,,,,,,0,0,48,48,48,1,right.jpg,,,right,,,,,,,,,,,,,
,,,AZD5EFRI6AB7X,45,female,6,2022-09-18_09h13.34.352,memory_pilot_most_recent,2022.2.4,Win32,32.2684737,,,,,,,,,,,,,,,,,,,,,,,,1,0,49,49,49,1,2238425482-313537.jpg,2238436322-314047.jpg,2,,,,,,,,,,,,,,
,,,AZD5EFRI6AB7X,45,female,6,2022-09-18_09h13.34.352,memory_pilot_most_recent,2022.2.4,Win32,32.2684737,,,,,,,,,,,,,,,,,,,,,,,,1,0,50,50,50,1,2901952513-70703.jpg,2868469411-287540.jpg,2,,,,,,,,,,,,,,
,,,AZD5EFRI6AB7X,45,female,6,2022-09-18_09h13.34.352,memory_pilot_most_recent,2022.2.4,Win32,32.2684737,,,,,,,,,,,,,,,,,,,,,,,,1,0,51,51,51,1,2874303365-214262.jpg,2238563377-332054.jpg,2,,,,,,,,,,,,,,
,,,AZD5EFRI6AB7X,45,female,6,2022-09-18_09h13.34.352,memory_pilot_most_recent,2022.2.4,Win32,32.2684737,,,,,,,,,,,,,,,,,,,,,,,,1,0,52,52,52,1,2512875899-126682.jpg,2592380177-354628.jpg,2,,,,,,,,,,,,,,
,,,AZD5EFRI6AB7X,45,female,6,2022-09-18_09h13.34.352,memory_pilot_most_recent,2022.2.4,Win32,32.2684737,,,,,,,,,,,,,,,,,,,,,,,,1,0,53,53,53,1,2981231403-71642.jpg,2579432519-130698.jpg,1,,,,,,,,,,,,,,
,,,AZD5EFRI6AB7X,45,female,6,2022-09-18_09h13.34.352,memory_pilot_most_recent,2022.2.4,Win32,32.2684737,,,,,,,,,,,,,,,,,,,,,,,,1,0,54,54,54,1,2898634397-367080.jpg,2901934408-69289.jpg,2,,,,,,,,,,,,,,
,,,AZD5EFRI6AB7X,45,female,6,2022-09-18_09h13.34.352,memory_pilot_most_recent,2022.2.4,Win32,32.2684737,,,,,,,,,,,,,,,,,,,,,,,,1,0,55,55,55,1,2874302418-65979.jpg,2238578544-111698.jpg,3,,,,,,,,,,,,,,
,,,AZD5EFRI6AB7X,45,female,6,2022-09-18_09h13.34.352,memory_pilot_most_recent,2022.2.4,Win32,32.2684737,,,,,,,,,,,,,,,,,,,,,,,,1,0,56,56,56,1,2238560245-182099.jpg,2592380255-205553.jpg,1,,,,,,,,,,,,,,
,,,AZD5EFRI6AB7X,45,female,6,2022-09-18_09h13.34.352,memory_pilot_most_recent,2022.2.4,Win32,32.2684737,,,,,,,,,,,,,,,,,,,,,,,,1,0,57,57,57,1,2883273443-68193.jpg,2883254439-140940.jpg,1,,,,,,,,,,,,,,
